track name= "chr16 t1519" description= "test"  visibility= 2
chr16		74615430		74616924
chr16		29319663		29321127
chr16		25560536		25562006
chr16		50988585		50990044
chr16		14310208		14311497
chr16		17856455		17857945
chr16		52639582		52641050
chr16		60793013		60794470
chr16		51620972		51622284
chr16		86224266		86225724
chr16		65192965		65194406
chr16		57741037		57742532
chr16		29351835		29353196
chr16		63236958		63238336
chr16		78678569		78679964
chr16		80622012		80623479
chr16		19518734		19520220
chr16		54744022		54745465
chr16		81488346		81489575
chr16		85180735		85182163
chr16		5817274			5818748
chr16		84671653		84673107
chr16		5881332			5882663
chr16		63671543		63672827
chr16		75845981		75847459
chr16		53629216		53630678
chr16		56734525		56735962
chr16		75385973		75387172
chr16		19587721		19589018
chr16		9053430			9054888
chr16		53058672		53060156
chr16		63269431		63270912
chr16		57727366		57728656
chr16		73920257		73921709
chr16		13454510		13455934
chr16		16202657		16204146
chr16		25284370		25285868
chr16		29329333		29330679
chr16		76895969		76897352
chr16		8300694			8301986
chr16		20197983		20199439
chr16		55875900		55877356
chr16		53159739		53161207
chr16		19009048		19010382
chr16		58553990		58555136
chr16		81789477		81790949
chr16		15890485		15891941
chr16		9395205			9396344
chr16		25277997		25279457
chr16		24968088		24969551
chr16		52299825		52301313
chr16		24472866		24474315
chr16		68259684		68261153
chr16		52871019		52872264
chr16		12688662		12690084
chr16		70327622		70329093
chr16		13167296		13168710
chr16		64263503		64264711
chr16		81292406		81293503
chr16		92755466		92756539
chr16		64685080		64686205
chr16		76690598		76692069
chr16		57295424		57296866
chr16		51939025		51940506
chr16		77091738		77093219
chr16		68548913		68550211
chr16		25299792		25301250
chr16		63218906		63220365
chr16		63394921		63396123
chr16		64988741		64990230
chr16		68540971		68542025
chr16		9862642			9863760
chr16		55918100		55919575
chr16		66944783		66945970
chr16		82064752		82066013
chr16		64207384		64208724
chr16		55425499		55426607
chr16		15973535		15974991
chr16		17677760		17678906
chr16		16145139		16146609
chr16		65223182		65224339
chr16		65488540		65490022
chr16		12676637		12677813
chr16		86838383		86839858
chr16		85171756		85173190
chr16		13319164		13320207
chr16		80834049		80835215
chr16		64926461		64927925
chr16		56543246		56544375
chr16		51044272		51045767
chr16		58657138		58658613
chr16		59064325		59065785
chr16		85879833		85881257
chr16		83760281		83761757
chr16		14202467		14203921
chr16		77114099		77115122
chr16		65844052		65845532
chr16		64042571		64043732
chr16		53777876		53778884
chr16		83779984		83781435
chr16		63626368		63627558
chr16		81131685		81132789
chr16		29354247		29355609
chr16		52157566		52158717
chr16		75522188		75523153
chr16		51409071		51410087
chr16		64157481		64158919
chr16		68824248		68825712
chr16		51500016		51501496
chr16		68859533		68860832
chr16		64468554		64469771
chr16		66819905		66821226
chr16		81346139		81347325
chr16		53120331		53121504
chr16		53021628		53022894
chr16		3924945			3925919
chr16		51576460		51577446
chr16		24432534		24433951
chr16		30008310		30009731
chr16		16870680		16871965
chr16		64541400		64542857
chr16		15779792		15780766
chr16		29654255		29655595
chr16		91214086		91215004
chr16		63430932		63431923
chr16		17641215		17642187
chr16		24208679		24209554
chr16		16046074		16047131
chr16		68114168		68115489
chr16		84290625		84291536
chr16		21971669		21972677
chr16		21971669		21972677
chr16		67003574		67004509
chr16		82041104		82042112
chr16		63308204		63309380
chr16		26815925		26816803
chr16		19050363		19051164
chr16		52043727		52044584
chr16		63905517		63906376
chr16		81229132		81230420
chr16		63836945		63837843
chr16		18820084		18821184
chr16		65335445		65336330
chr16		65236309		65237129
chr16		13592818		13594115
chr16		57675268		57676189
chr16		60976224		60977051
chr16		2338617			2339453
chr16		69024023		69024833
chr16		3370374			3371145
chr16		65917984		65918832
chr16		66483110		66483903
chr16		55626605		55627861
chr16		52235323		52236100
chr16		77275769		77277092
chr16		8076128			8077423
chr16		86869706		86870568
chr16		21574554		21575348
chr16		6827373			6828171
chr16		63803235		63804022
chr16		50908416		50909523
chr16		78306470		78307941
chr16		59708572		59710035
chr16		85321835		85322827
chr16		84231096		84231826
chr16		18882607		18883555
chr16		58977260		58978025
chr16		24940384		24941206
chr16		56571211		56571922
chr16		19979070		19979906
chr16		10520418		10521505
chr16		9609698			9610425
chr16		53181316		53182105
chr16		9363754			9364532
chr16		56551129		56551949
chr16		94218381		94219207
chr16		19522405		19523263
chr16		65995967		65997013
chr16		8131392			8132092
chr16		84387074		84388390
chr16		66028317		66029348
chr16		64669078		64669897
chr16		69032470		69033569
chr16		60188665		60189341
chr16		60201180		60201856
chr16		81799046		81800383
chr16		86911510		86912634
chr16		52199085		52200336
chr16		83470267		83471066
chr16		63358004		63358813
chr16		29817261		29818579
chr16		15188160		15188806
chr16		80541221		80542003
chr16		81847844		81848633
chr16		52052233		52053003
chr16		53311263		53312209
chr16		78479568		78480913
chr16		76872601		76873359
chr16		10058646		10059380
chr16		7459591			7460520
chr16		15450505		15451448
chr16		68781277		68782018
chr16		8082657			8083263
chr16		30486571		30487307
chr16		52043107		52043713
chr16		52205321		52205997
chr16		57243823		57244788
chr16		58080703		58081397
chr16		79488710		79489634
chr16		90351607		90352272
chr16		52711908		52713044
chr16		76873351		76874199
chr16		13103483		13104281
chr16		12181759		12182591
chr16		52168171		52168963
chr16		66712830		66713494
chr16		64847606		64848612
chr16		56811421		56812263
chr16		63801325		63801992
chr16		9802135			9802862
chr16		59163846		59164794
chr16		72578076		72578809
chr16		19567305		19568122
chr16		3981097			3981838
chr16		86348356		86349155
chr16		67667032		67667586
chr16		84775713		84776426
chr16		56552875		56553548
chr16		9295095			9295730
chr16		81998639		81999256
chr16		66600946		66602277
chr16		25438633		25439922
chr16		58644170		58644834
chr16		60020753		60021363
chr16		29333329		29334622
chr16		85892617		85893210
chr16		6917049			6918257
chr16		22172774		22173526
chr16		63839228		63840526
chr16		25724005		25725026
chr16		14143969		14145113
chr16		3371144			3371704
chr16		52236103		52236683
chr16		77079194		77079881
chr16		72505348		72506146
chr16		88403345		88404033
chr16		2435546			2436085
chr16		20175483		20176339
chr16		65333760		65334333
chr16		21530745		21531290
chr16		57365349		57366443
chr16		80614087		80614728
chr16		69589332		69590216
chr16		3460358			3461533
chr16		4195402			4196150
chr16		6696008			6696614
chr16		60004613		60005930
chr16		14246838		14247837
chr16		19169191		19169809
chr16		76853585		76854545
chr16		63387226		63387783
chr16		67023700		67024354
chr16		52637583		52638689
chr16		54274932		54275552
chr16		3926362			3926856
chr16		15780966		15781487
chr16		24355040		24356316
chr16		90710825		90711410
chr16		53777061		53777544
chr16		8083264			8083779
chr16		51819729		51820434
chr16		66579383		66579905
chr16		18081287		18082058
chr16		24322105		24322853
chr16		53097103		53098331
chr16		53549686		53550292
chr16		56540113		56541197
chr16		16965494		16966233
chr16		29805206		29805689
chr16		27849364		27849897
chr16		17640494		17641015
chr16		13047396		13047970
chr16		57374711		57375642
chr16		80392470		80393018
chr16		21120510		21121142
chr16		63235502		6323601
chr16		59295175		59295917
chr16		29782909		29783715
chr16		90804672		90805172
chr16		78693105		78693574
chr16		60572587		60573206
chr16		12771926		12772461
chr16		59179365		59180053
chr16		91746741		91747456
chr16		12183214		12183832
chr16		20414988		20416228
chr16		75836798		75837304
chr16		51885614		51886949
chr16		58081411		58082383
chr16		84774678		84775418
chr16		24230797		24231307
chr16		29971268		29972550
chr16		6427451			6428139
chr16		24257846		24258495
chr16		66477908		66478629
chr16		80899867		80900403
chr16		24230339		24230799
chr16		66785647		66786290
chr16		59994023		59995287
chr16		70010877		70012153
chr16		21530312		21530745
chr16		53659836		53660493
chr16		79046174		79046845
chr16		55487405		55487939
chr16		87965697		87966145
chr16		10760373		10760830
chr16		92757324		92757728
chr16		26155905		26156355
chr16		66553589		66554012
chr16		20457494		20458103
chr16		26532265		26532687
chr16		61153515		61154206
chr16		69832708		69833176
chr16		80861517		80862004
chr16		65930368		65931521
chr16		70679813		70680876
chr16		78504987		78505658
chr16		16389456		16389978
chr16		81651389		81651986
chr16		6573739			6574218
chr16		29696285		29696836
chr16		63905112		63905522
chr16		60016909		60017399
chr16		63836441		63836945
chr16		67407570		67408270
chr16		80747505		80748724
chr16		67004507		67004912
chr16		57243012		57243541
chr16		66067858		66068293
chr16		52100734		52101380
chr16		80693240		80693731
chr16		6532950			6533759
chr16		67821408		67821944
chr16		66236646		66237096
chr16		57342616		57343306
chr16		65080390		65080870
chr16		81293874		81294279
chr16		21642271		21642809
chr16		51832031		51832751
chr16		66384918		66385331
chr16		68231828		68232978
chr16		63896676		63897228
chr16		66510875		66511463
chr16		88404335		88405016
chr16		64686614		64686981
chr16		26933393		26933887
chr16		60381782		60382558
chr16		56816267		56816709
chr16		86347494		86348055
chr16		52101688		52102367
chr16		57648755		57649856
chr16		68002644		68003316
chr16		63254551		63255234
chr16		65654007		65654569
chr16		13009435		13010108
chr16		19218618		19219043
chr16		29783725		29784210
chr16		85285779		85286215
chr16		9802864			9803273
chr16		87034808		87035185
chr16		12432429		12432842
chr16		19566487		19567050
